mms_id,status,ns0_count,error_code,notes
991011687627704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687627804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687627904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687628904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687629904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687630904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687631904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687632904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687633904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687634904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687635904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687636904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687637804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687638904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687639104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687639204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687639304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687639504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687639604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687639904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687640004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011687641204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688285104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688285204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688285304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688285404641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688285704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688285904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286204641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286304641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286504641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286604641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286704641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286804641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688286904641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688287004641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688287104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
991011688288104641,Fetchable - Clean,0,,No ns0: fields found - record is clean
